instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,30.357555389404297,2.2259552478790283,2.150397777557373,47.0,31.0,40.0,0.1
1.0,49.41541337966919,2.126725196838379,1.4987902641296387,48.0,64.0,64.0,0.1
2.0,68.15922689437866,2.01353120803833,1.758669376373291,42.0,11.0,29.0,0.1
3.0,86.97102904319763,2.0934860706329346,1.6756701469421387,47.0,64.0,64.0,0.1
4.0,191.9794852733612,1.4667613506317139,1.5206758975982666,43.0,64.0,64.0,0.1
5.0,42.94533109664917,1.8424785137176514,1.669630527496338,47.0,64.0,64.0,0.1
6.0,96.69325733184814,2.341881513595581,2.2811949253082275,44.0,34.0,41.0,0.1
