instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,547.4475724697113,1.7446975708007812,2.169978618621826,42.0,5.0,28.0,0.1
1.0,128.76152205467224,1.9692485332489007,2.649409770965576,46.0,40.0,39.0,0.1
2.0,95.96378827095032,1.661324977874756,2.053083896636963,49.0,0.0,22.0,0.1
3.0,395.2646007537842,1.9933702945709229,2.1616461277008057,44.0,15.0,35.0,0.1
4.0,166.4459948539734,1.5901894569396973,2.0432825088500977,49.0,11.0,27.0,0.1
5.0,15.515733003616331,1.688211441040039,2.1700167655944824,48.0,3.0,32.0,0.1
6.0,13.229906797409058,1.402615308761597,2.0925822257995605,50.0,0.0,23.0,0.1
7.0,9.040323734283447,1.5220005512237549,2.131847381591797,53.0,0.0,27.0,0.1
9.0,44.63984370231629,1.2926113605499268,1.3761026859283447,52.0,36.0,41.0,0.1
10.0,803.2848024368286,2.44189977645874,2.3151872158050537,42.0,0.0,34.0,0.1
11.0,24.78550910949707,1.816206693649292,1.9625697135925293,50.0,17.0,32.0,0.1
12.0,348.15049171447754,2.842071294784546,2.3397650718688965,45.0,14.0,26.0,0.1
13.0,1249.9141261577606,2.883962631225586,2.579667568206787,49.0,64.0,64.0,0.1
14.0,46.57388472557068,3.2482597827911377,4.805035352706909,49.0,20.0,33.0,0.1
15.0,503.879825592041,2.8434736728668213,3.097309112548828,44.0,12.0,32.0,0.1
16.0,69.20976972579956,2.3043439388275146,2.683213710784912,49.0,16.0,33.0,0.1
