instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,5.929943084716797,0.7780334949493408,0.7820963859558105,46.0,26.0,25.0,0.9
1.0,7.2345757484436035,0.8916394710540771,0.9238834381103516,43.0,32.0,30.0,0.9
2.0,5.799115180969238,1.5518717765808103,1.1580979824066162,45.0,23.0,23.0,0.9
3.0,4.970024347305298,0.6783032417297363,0.7747256755828857,45.0,29.0,30.0,0.9
4.0,4.533013820648193,1.2080988883972168,0.8859319686889648,45.0,21.0,25.0,0.9
5.0,4.8765950202941895,0.8319606781005859,0.8939921855926514,43.0,31.0,30.0,0.9
6.0,5.45217227935791,0.9036192893981934,1.0330085754394531,41.0,25.0,25.0,0.9
7.0,4.401498794555664,1.0094120502471924,0.9402387142181396,40.0,27.0,25.0,0.9
8.0,6.481266021728516,0.79093337059021,0.87896728515625,44.0,32.0,32.0,0.9
9.0,2.8874990940093994,1.016606092453003,3.9002606868743896,51.0,29.0,30.0,0.9
10.0,13.374100923538208,0.9258077144622804,0.8603653907775879,44.0,31.0,25.0,0.9
11.0,6.264296770095825,1.045471429824829,0.8564143180847168,44.0,28.0,28.0,0.9
12.0,3.891235113143921,1.8786838054656985,1.160287618637085,46.0,22.0,25.0,0.9
13.0,4.515384197235107,1.0822162628173828,0.9427990913391112,46.0,30.0,31.0,0.9
14.0,5.4003379344940186,0.8680853843688965,0.7844295501708984,45.0,30.0,25.0,0.9
15.0,6.821146965026856,1.0784356594085691,1.6805202960968018,43.0,24.0,26.0,0.9
16.0,4.541684150695801,1.3439643383026123,1.3449487686157229,46.0,23.0,23.0,0.9
17.0,9.14583706855774,1.0480778217315674,1.350834846496582,43.0,37.0,35.0,0.9
18.0,7.371383190155029,1.566234111785889,1.3452224731445312,43.0,31.0,31.0,0.9
19.0,6.192026138305664,1.020021677017212,1.0832345485687256,43.0,24.0,24.0,0.9
20.0,,2.885382413864136,1.2753121852874756,,28.0,31.0,0.9
21.0,,1.0909640789031982,0.8526220321655273,,30.0,30.0,0.9
22.0,,1.318192481994629,1.070972204208374,,26.0,27.0,0.9
23.0,5.521738290786743,0.818777322769165,3.808274030685425,46.0,27.0,25.0,0.9
24.0,3.7372095584869385,0.8568952083587646,0.9066827297210693,48.0,27.0,28.0,0.9
25.0,3.8500900268554688,0.65765380859375,1.0999441146850586,48.0,28.0,30.0,0.9
