instance_index,tempo_original,tempo_relaxado,len_original,len_relaxado,delta
0.0,532.8860335350037,1.42879056930542,42.0,28.0,0.5
1.0,117.2453727722168,1.3211543560028076,46.0,37.0,0.5
2.0,87.04956817626953,1.1861252784729004,49.0,20.0,0.5
3.0,343.1404604911804,1.2701678276062012,44.0,31.0,0.5
4.0,154.34170198440552,1.1948814392089844,49.0,24.0,0.5
5.0,12.778646469116213,1.1846823692321775,48.0,28.0,0.5
6.0,11.178241491317749,1.1732213497161865,50.0,22.0,0.5
7.0,8.265874862670898,1.7722575664520264,53.0,20.0,0.5
8.0,1289.554559469223,1.8946635723114014,44.0,24.0,0.5
9.0,42.02597784996033,1.2897701263427734,52.0,37.0,0.5
10.0,716.8002750873566,4.87170934677124,42.0,27.0,0.5
11.0,18.264607191085815,2.629617691040039,50.0,28.0,0.5
12.0,345.02262592315674,2.1585068702697754,45.0,24.0,0.5
13.0,907.12615442276,1.7707035541534424,49.0,64.0,0.5
14.0,32.84880018234253,1.66780424118042,49.0,31.0,0.5
15.0,373.02313923835754,1.4148883819580078,44.0,35.0,0.5
16.0,51.26732873916626,1.3042595386505127,49.0,28.0,0.5
17.0,5275.697350978851,4.440630674362183,42.0,32.0,0.5
